"","date","temperature_celsius","rainfall_mm"
"162",2004-06-01,24.6079,25.4392
"163",2004-07-01,23.7949,15.2559
"164",2004-08-01,24.5243,17.5807
"165",2004-09-01,24.4596,23.9635
"166",2004-10-01,24.4763,75.8217
"167",2004-11-01,25.1573,77.5228
"168",2004-12-01,25.3106,41.0149
"169",2005-01-01,24.8122,19.1011
"170",2005-02-01,27.1921,13.6037
"171",2005-03-01,27.4049,49.6763
"172",2005-04-01,26.7171,57.2831
"173",2005-05-01,25.1366,83.5191
"174",2005-06-01,24.1579,20.1572
"175",2005-07-01,23.5231,19.2082
"176",2005-08-01,23.9151,24.0252
"177",2005-09-01,25.2023,18.9451
"178",2005-10-01,25.1685,64.2847
"179",2005-11-01,25.3178,46.147
"180",2005-12-01,25.4102,18.656
"181",2006-01-01,26.012,22.1909
"182",2006-02-01,26.9355,22.2449
"183",2006-03-01,27.0357,82.786
"184",2006-04-01,25.8867,131.79
"185",2006-05-01,24.986,83.3955
"186",2006-06-01,24.4074,25.9291
"187",2006-07-01,23.548,26.0609
"188",2006-08-01,24.2949,44.2328
"189",2006-09-01,24.1269,49.3262
"190",2006-10-01,25.8045,94.12
"191",2006-11-01,25.1589,174.698
"192",2006-12-01,24.8899,79.3671
"193",2007-01-01,25.5855,34.3716
"194",2007-02-01,26.4363,25.0993
"195",2007-03-01,26.6092,50.4786
"196",2007-04-01,26.0444,105.91
"197",2007-05-01,25.5509,90.5702
"198",2007-06-01,23.7128,23.7514
"199",2007-07-01,22.7807,39.9548
"200",2007-08-01,23.6905,64.4247
"201",2007-09-01,24.7334,66.5627
"202",2007-10-01,25.5032,46.6673
"203",2007-11-01,24.8829,57.0503
"204",2007-12-01,25.1843,48.9737
"205",2008-01-01,25.9522,26.4445
"206",2008-02-01,26.0127,28.524
"207",2008-03-01,26.2269,121.991
"208",2008-04-01,25.4593,85.7628
"209",2008-05-01,24.5696,63.9306
"210",2008-06-01,23.5775,23.9265
"211",2008-07-01,23.2604,21.3722
"212",2008-08-01,24.4005,29.2983
"213",2008-09-01,25.4872,32.8981
"214",2008-10-01,25.3388,86.2573
"215",2008-11-01,24.499,110.582
"216",2008-12-01,24.8051,13.715
"217",2009-01-01,25.6666,32.8746
"218",2009-02-01,26.1369,28.0516
"219",2009-03-01,27.0794,22.3291
"220",2009-04-01,26.8432,92.9484
